UF,Município,ICM_Classification
PR,Vera Cruz do Oeste,B
SC,Celso Ramos,B
SC,Paial,B
SC,São Bernardino,B
RS,Água Santa,B
RS,Cotiporã,B
RS,Frederico Westphalen,B
RS,Marau,B
MS,Paranhos,B
MT,Lucas do Rio Verde,B
MT,Rondonópolis,B
TO,Palmeiras do Tocantins,B
PI,Inhuma,B
PI,Lagoa do Barro do Piauí,B
PI,Pimenteiras,B
CE,Icapuí,B
CE,Várzea Alegre,B
RN,Bodó,B
RN,Galinhos,B
RN,Paraú,B
RN,São Miguel,B
RN,São Miguel do Gostoso,B
PB,Areial,B
PB,Serra Redonda,B
PE,Carnaíba,B
PE,Orobó,B
PE,Toritama,B
PE,Triunfo,B
AL,Senador Rui Palmeira,B
BA,Itaeté,B
BA,Monte Santo,B
MG,Bom Despacho,B
MG,Campos Gerais,B
MG,Catas Altas,B
MG,Caxambu,B
MG,Confins,B
MG,Diamantina,B
MG,Felixlândia,B
MG,Fervedouro,B
MG,Goianá,B
MG,Leandro Ferreira,B
MG,Mirabela,B
MG,Paula Cândido,B
MG,Santa Maria do Suaçuí,B
MG,Santa Rita do Itueto,B
MG,Santo Antônio do Jacinto,B
MG,Simão Pereira,B
MG,Tarumirim,B
MG,Tiradentes,B
RJ,Armação dos Búzios,B
SP,Altinópolis,B
SP,Araçoiaba da Serra,B
SP,Cristais Paulista,B
SP,Ituverava,B
SP,Jaborandi,B
SP,Lucianópolis,B
SP,Maracaí,B
SP,Pontal,B
SP,Redenção da Serra,B
SP,Riversul,B
PR,Antônio Olinto,B
PR,Campo Bonito,B
PR,Capanema,B
PR,Carambeí,B
PR,Floresta,B
PR,Guaíra,B
PR,Inácio Martins,B
PR,Itaúna do Sul,B
PR,Marmeleiro,B
PR,Paranapoema,B
PR,Tamarana,B
PR,Tapejara,B
PR,Doutor Ulysses,B
PR,Virmond,B
PR,Vitorino,B
PR,Xambrê,B
SC,Cerro Negro,B
SC,Formosa do Sul,B
SC,Lajeado Grande,B
SC,Modelo,B
SC,Mondaí,B
SC,Santiago do Sul,B
RS,Boa Vista do Buricá,B
RS,Bom Progresso,B
RS,Candiota,B
RS,Cerrito,B
RS,Chuvisca,B
RS,David Canabarro,B
RS,Derrubadas,B
RS,Dois Irmãos,B
RS,Doutor Ricardo,B
RS,Hulha Negra,B
RS,Lagoa Vermelha,B
RS,Miraguaí,B
RS,Mostardas,B
RS,Não-Me-Toque,B
RS,Nova Bassano,B
RS,Nova Bréscia,B
RS,Palmitinho,B
RS,Picada Café,B
RS,Rodeio Bonito,B
RS,Rolador,B
RS,Santiago,B
RS,Santo Antônio do Palma,B
RS,São José das Missões,B
RS,São Vicente do Sul,B
RS,Tapejara,B
RS,Tupanciretã,B
RS,Vespasiano Corrêa,B
MS,Glória de Dourados,B
MT,Nossa Senhora do Livramento,B
